ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description,Error
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220611,2022-06-11,2022-06-11,LANDSAT_9,2.10,0.00,0.00,0.00,0.00,0.00,,,0.00,2022_06_11-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220611T103629_20220611T104904_T31TCH,2022-06-11,2022-06-11,SENTINEL_2,0.49,0.49,0.49,0.49,0.49,0.49,,,0.00,2022_06_11-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220614T104629_20220614T105901_T31TCH,2022-06-14,2022-06-14,SENTINEL_2,,,,,,,,,,,"An internal error has occurred (request: b8efaf76-e10d-42b9-8b8a-41b40da2a835) (computation: ""QJT7QUMOBCAMGHI3TEW6VZGH"")"
COPERNICUS/S2_SR_HARMONIZED/20220616T103631_20220616T104622_T31TCH,2022-06-16,2022-06-16,SENTINEL_2,99.94,1.67,0.45,0.45,0.45,0.45,,,0.00,2022_06_16-Sentinel2,
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20220619,2022-06-19,2022-06-19,LANDSAT_8,2.73,0.30,0.30,0.30,0.30,0.30,,,0.00,2022_06_19-Landsat8,
COPERNICUS/S2_SR_HARMONIZED/20220619T104631_20220619T105906_T31TCH,2022-06-19,2022-06-19,SENTINEL_2,2.01,0.29,0.29,0.29,0.29,0.29,,,0.00,2022_06_19-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220621T103629_20220621T103711_T31TCH,2022-06-21,2022-06-21,SENTINEL_2,98.82,0.29,0.29,0.29,0.29,0.29,,,0.00,2022_06_21-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220624T104629_20220624T105906_T31TCH,2022-06-24,2022-06-24,SENTINEL_2,64.25,30.51,7.00,6.86,5.44,0.24,1748.00,1843.00,4.00,2022_06_24-Sentinel2,
COPERNICUS/S2_SR_HARMONIZED/20220626T103641_20220626T104443_T31TCH,2022-06-26,2022-06-26,SENTINEL_2,46.91,31.15,7.22,7.02,5.43,0.57,1803.00,1868.00,5.00,2022_06_26-Sentinel2,
LANDSAT/LC09/C02/T1_TOA/LC09_198030_20220627,2022-06-27,2022-06-27,LANDSAT_9,99.28,3.66,0.40,0.40,0.40,0.40,,,0.00,2022_06_27-Landsat9,
COPERNICUS/S2_SR_HARMONIZED/20220629T104631_20220629T105903_T31TCH,2022-06-29,2022-06-29,SENTINEL_2,4.36,3.66,0.38,0.38,0.38,0.38,,,0.00,2022_06_29-Sentinel2,
